Sniffer Network Analyzer data from 5-Sep-91 at 09:06:16, file C:\CAPTURE\TEST2.ENC, Page 1


SUMMARY  Delta T  Size     Destination   Source        Summary
   828    0.0135    60  blue         cacilj        NCP C Service queue 000000CF job
   829    0.0009   106  cacilj       blue          NCP R Bindery error
   830    0.0211    60  blue         cacilj        NCP C Service queue 00010015 job
   831    0.0009   106  cacilj       blue          NCP R Bindery error
   832    5.1240    60  blue         cacilj        NCP C Service queue 000200A7 job
   833    0.0009   106  cacilj       blue          NCP R Bindery error
Sniffer Network Analyzer data from 5-Sep-91 at 09:06:16, file C:\CAPTURE\TEST2.ENC, Page 18


SUMMARY  Delta T  Size     Destination   Source        Summary

   834    0.0324    60  blue         cacilj        NCP C Service queue 000000CF job
   835    0.0008   106  cacilj       blue          NCP R Bindery error
   836    0.0172    60  blue         cacilj        NCP C Service queue 000400E5 job
   837    0.0009   106  cacilj       blue          NCP R Bindery error
   838    0.0190    60  blue         cacilj        NCP C Service queue 00010015 job
   839    0.0009   106  cacilj       blue          NCP R Bindery error
   840    5.1122    60  blue         cacilj        NCP C Service queue 000200A7 job
   841    0.0008   106  cacilj       blue          NCP R Bindery error
   842    0.0321    60  blue         cacilj        NCP C Service queue 000000CF job
   843    0.0009   106  cacilj       blue          NCP R Bindery error
   844    0.0324    60  blue         cacilj        NCP C Service queue 000400E5 job
   845    0.0008   106  cacilj       blue          NCP R Bindery error
   846    0.0172    60  blue         cacilj        NCP C Service queue 00010015 job
   847    0.0009   106  cacilj       blue          NCP R Bindery error
   848    5.0992    60  blue         cacilj        NCP C Service queue 000200A7 job
   849    0.0009   106  cacilj       blue          NCP R Bindery error
   850    0.0321    60  blue         cacilj        NCP C Service queue 000000CF job
   851    0.0009   106  cacilj       blue          NCP R Bindery error
   852    0.0321    60  blue         cacilj        NCP C Service queue 000400E5 job
   853    0.0009   106  cacilj       blue          NCP R Bindery error
   854    0.0321    60  blue         cacilj        NCP C Service queue 00010015 job
   855    0.0009   106  cacilj       blue          NCP R Bindery error
   856    3.6488   110  Broadcast    blue          NCP R CACIBASE
   857    1.4358    60  blue         cacilj        NCP C Service queue 000200A7 job
   858    0.0009   106  cacilj       blue          NCP R Bindery error
   859    0.0321    60  blue         cacilj        NCP C Service queue 000000CF job
   860    0.0009   106  cacilj       blue          NCP R Bindery error
   861    0.0320    60  blue         cacilj        NCP C Service queue 000400E5 job
   862    0.0009   106  cacilj       blue          NCP R Bindery error
   863    0.0321    60  blue         cacilj        NCP C Service queue 00010015 job
   864    0.0009   106  cacilj       blue          NCP R Bindery error
   865    5.0846    60  blue         cacilj        NCP C Service queue 000200A7 job
   866    0.0009   106  cacilj       blue          NCP R Bindery error
   867    0.0320    60  blue         cacilj        NCP C Service queue 000000CF job
   868    0.0009   106  cacilj       blue          NCP R Bindery error
   869    0.0320    60  blue         cacilj        NCP C Service queue 000400E5 job
   870    0.0009   106  cacilj       blue          NCP R Bindery error
   871    0.0321    60  blue         cacilj        NCP C Service queue 00010015 job
   872    0.0009   106  cacilj       blue          NCP R Bindery error
   873    5.0847    60  blue         cacilj        NCP C Service queue 000200A7 job
   874    0.0009   106  cacilj       blue          NCP R Bindery error
   875    0.0321    60  blue         cacilj        NCP C Service queue 000000CF job
   876    0.0008   106  cacilj       blue          NCP R Bindery error
   877    0.0321    60  blue         cacilj        NCP C Service queue 000400E5 job
   878    0.0008   106  cacilj       blue          NCP R Bindery error
   879    0.0321    60  blue         cacilj        NCP C Service queue 00010015 job
   880    0.0008   106  cacilj       blue          NCP R Bindery error
   881    5.0847    60  blue         cacilj        NCP C Service queue 000200A7 job
   882    0.0009   106  cacilj       blue          NCP R Bindery error
Sniffer Network Analyzer data from 5-Sep-91 at 09:06:16, file C:\CAPTURE\TEST2.ENC, Page 19


SUMMARY  Delta T  Size     Destination   Source        Summary

   883    0.0320    60  blue         cacilj        NCP C Service queue 000000CF job
   884    0.0009   106  cacilj       blue          NCP R Bindery error
   885    0.0320    60  blue         cacilj        NCP C Service queue 000400E5 job
   886    0.0009   106  cacilj       blue          NCP R Bindery error
   887    0.0321    60  blue         cacilj        NCP C Service queue 00010015 job
   888    0.0009   106  cacilj       blue          NCP R Bindery error
   889    5.0847    60  blue         cacilj        NCP C Service queue 000200A7 job
   890    0.0009   106  cacilj       blue          NCP R Bindery error
   891    0.0321    60  blue         cacilj        NCP C Service queue 000000CF job
   892    0.0009   106  cacilj       blue          NCP R Bindery error
   893    0.0321    60  blue         cacilj        NCP C Service queue 000400E5 job
   894    0.0009   106  cacilj       blue          NCP R Bindery error
   895    0.0321    60  blue         cacilj        NCP C Service queue 00010015 job
   896    0.0009   106  cacilj       blue          NCP R Bindery error
   897    5.0846    60  blue         cacilj        NCP C Service queue 000200A7 job
   898    0.0009   106  cacilj       blue          NCP R Bindery error
   899    0.0320    60  blue         cacilj        NCP C Service queue 000000CF job
   900    0.0009   106  cacilj       blue          NCP R Bindery error
   901    0.0321    60  blue         cacilj        NCP C Service queue 000400E5 job
   902    0.0008   106  cacilj       blue          NCP R Bindery error
   903    0.0321    60  blue         cacilj        NCP C Service queue 00010015 job
   904    0.0008   106  cacilj       blue          NCP R Bindery error
   905    0.7578    60  blue         dragonfly     NCP C F=BA14 Close file
   906    0.0007    60  dragonfly    blue          NCP R OK
   907    0.0014    64  blue         dragonfly     NCP C Open file RBASE.OVL
   908    0.0663    88  dragonfly    blue          NCP R File not found
   909    0.0009    64  blue         dragonfly     NCP C Open file RBASE.OVL
   910    0.0327    88  dragonfly    blue          NCP R File not found
   911    0.0009    64  blue         dragonfly     NCP C Open file RBASE.OVL
   912    0.0144    88  dragonfly    blue          NCP R File not found
   913    0.0009    64  blue         dragonfly     NCP C Open file RBASE.OVL
   914    0.0060    88  dragonfly    blue          NCP R File not found
   915    0.0009    64  blue         dragonfly     NCP C Open file RBASE.OVL
   916    0.0044    88  dragonfly    blue          NCP R File not found
   917    0.0009    64  blue         dragonfly     NCP C Open file RBASE.OVL
   918    0.0021    88  dragonfly    blue          NCP R F=B514 OK Opened
   919    0.0011    64  blue         dragonfly     NCP C F=B514 Read 512 at 328704
   920    0.0012   566  dragonfly    blue          NCP R OK 512 bytes read
   921    0.0040    64  blue         dragonfly     NCP C F=B514 Read 512 at 315904
   922    0.0012   566  dragonfly    blue          NCP R OK 512 bytes read
   923    0.0011    64  blue         dragonfly     NCP C F=B514 Read 1024 at 316416
   924    0.0016  1078  dragonfly    blue          NCP R OK 1024 bytes read
   925    0.0013    64  blue         dragonfly     NCP C F=B514 Read 1024 at 317440
   926    0.0016  1078  dragonfly    blue          NCP R OK 1024 bytes read
   927    0.0012    64  blue         dragonfly     NCP C F=B514 Read 1024 at 318464
   928    0.0016  1078  dragonfly    blue          NCP R OK 1024 bytes read
   929    0.0013    64  blue         dragonfly     NCP C F=B514 Read 1024 at 319488
   930    0.0016  1078  dragonfly    blue          NCP R OK 1024 bytes read
   931    0.0012    64  blue         dragonfly     NCP C F=B514 Read 1024 at 320512
Sniffer Network Analyzer data from 5-Sep-91 at 09:06:16, file C:\CAPTURE\TEST2.ENC, Page 20


SUMMARY  Delta T  Size     Destination   Source        Summary

   932    0.0016  1078  dragonfly    blue          NCP R OK 1024 bytes read
   933    0.0012    64  blue         dragonfly     NCP C F=B514 Read 1024 at 321536
   934    0.0016  1078  dragonfly    blue          NCP R OK 1024 bytes read
   935    0.0013    64  blue         dragonfly     NCP C F=B514 Read 1024 at 322560
   936    0.0016  1078  dragonfly    blue          NCP R OK 1024 bytes read
   937    0.0012    64  blue         dragonfly     NCP C F=B514 Read 672 at 323584
   938    0.0014   726  dragonfly    blue          NCP R OK 672 bytes read
   939    0.0013    64  blue         dragonfly     NCP C F=B514 Read 512 at 315392
   940    0.0012   566  dragonfly    blue          NCP R OK 512 bytes read
   941    0.0058   280  blue         dragonfly     NCP C F=7314 Write 215 at 25600
   942    0.0006    60  dragonfly    blue          NCP R OK
   943    0.0007    64  blue         dragonfly     NCP C F=7314 Write 0 at 25815
   944    0.0005    60  dragonfly    blue          NCP R OK
   945    0.0008    60  blue         dragonfly     NCP C F=7314 Close file
   946    0.0013    60  dragonfly    blue          NCP R OK
   947    0.0032    60  blue         dragonfly     NCP C F=B514 Close file
   948    0.0007    60  dragonfly    blue          NCP R OK
   949    0.0014    66  blue         dragonfly     NCP C Open file STNDRD.OVL
   950    0.0662    88  dragonfly    blue          NCP R File not found
   951    0.0009    66  blue         dragonfly     NCP C Open file STNDRD.OVL
   952    0.0328    88  dragonfly    blue          NCP R File not found
   953    0.0009    66  blue         dragonfly     NCP C Open file STNDRD.OVL
   954    0.0145    88  dragonfly    blue          NCP R File not found
   955    0.0009    66  blue         dragonfly     NCP C Open file STNDRD.OVL
   956    0.0059    88  dragonfly    blue          NCP R File not found
   957    0.0009    66  blue         dragonfly     NCP C Open file STNDRD.OVL
   958    0.0044    88  dragonfly    blue          NCP R File not found
   959    0.0010    66  blue         dragonfly     NCP C Open file STNDRD.OVL
   960    0.0021    88  dragonfly    blue          NCP R F=B211 OK Opened
   961    0.0011    64  blue         dragonfly     NCP C F=B211 Read 960 at 70720
   962    0.0017  1014  dragonfly    blue          NCP R OK 960 bytes read
   963    0.0012    64  blue         dragonfly     NCP C F=B211 Read 1024 at 71680
   964    0.0017  1078  dragonfly    blue          NCP R OK 1024 bytes read
   965    0.0012    64  blue         dragonfly     NCP C F=B211 Read 832 at 72704
   966    0.0015   886  dragonfly    blue          NCP R OK 832 bytes read
   967    0.0014    64  blue         dragonfly     NCP C F=B211 Read 512 at 70144
   968    0.0012   566  dragonfly    blue          NCP R OK 512 bytes read
   969    0.0024    64  blue         dragonfly     NCP C F=B211 Read 512 at 70656
   970    0.0012   566  dragonfly    blue          NCP R OK 512 bytes read
   971    0.0048    64  blue         dragonfly     NCP C F=B211 Read 336 at 20144
   972    0.0010   390  dragonfly    blue          NCP R OK 336 bytes read
   973    0.0009    64  blue         dragonfly     NCP C F=B211 Read 1024 at 20480
   974    0.0017  1078  dragonfly    blue          NCP R OK 1024 bytes read
   975    0.0012    64  blue         dragonfly     NCP C F=B211 Read 1024 at 21504
   976    0.0018  1078  dragonfly    blue          NCP R OK 1024 bytes read
   977    0.0012    64  blue         dragonfly     NCP C F=B211 Read 1024 at 22528
   978    0.0018  1078  dragonfly    blue          NCP R OK 1024 bytes read
   979    0.0012    64  blue         dragonfly     NCP C F=B211 Read 1024 at 23552
   980    0.0017  1078  dragonfly    blue          NCP R OK 1024 bytes read
Sniffer Network Analyzer data from 5-Sep-91 at 09:06:16, file C:\CAPTURE\TEST2.ENC, Page 21


SUMMARY  Delta T  Size     Destination   Source        Summary

   981    0.0012    64  blue         dragonfly     NCP C F=B211 Read 1024 at 24576
   982    0.0018  1078  dragonfly    blue          NCP R OK 1024 bytes read
   983    0.0012    64  blue         dragonfly     NCP C F=B211 Read 1024 at 25600
   984    0.0018  1078  dragonfly    blue          NCP R OK 1024 bytes read
   985    0.0012    64  blue         dragonfly     NCP C F=B211 Read 656 at 26624
   986    0.0013   710  dragonfly    blue          NCP R OK 656 bytes read
   987    0.0013    64  blue         dragonfly     NCP C F=B211 Read 512 at 18944
   988    0.0012   566  dragonfly    blue          NCP R OK 512 bytes read
   989    0.0024    64  blue         dragonfly     NCP C F=B211 Read 512 at 19456
   990    0.0012   566  dragonfly    blue          NCP R OK 512 bytes read
   991    0.0037    64  blue         dragonfly     NCP C F=B211 Read 512 at 19968
   992    0.0012   566  dragonfly    blue          NCP R OK 512 bytes read
   993    0.0032    60  blue         dragonfly     NCP C F=28EB Close file
   994    0.0007    60  dragonfly    blue          NCP R OK
   995    0.0008    60  blue         dragonfly     NCP C F=DF78 Close file
   996    0.0007    60  dragonfly    blue          NCP R OK
   997    0.0008    60  blue         dragonfly     NCP C F=C11A Close file
   998    0.0015    60  dragonfly    blue          NCP R OK
   999    0.0199    64  blue         dragonfly     NCP C F=B211 Read 464 at 28208
  1000    0.0012   518  dragonfly    blue          NCP R OK 464 bytes read
  1001    0.0011    64  blue         dragonfly     NCP C F=B211 Read 1024 at 28672
  1002    0.0243  1078  dragonfly    blue          NCP R OK 1024 bytes read
  1003    0.0013    64  blue         dragonfly     NCP C F=B211 Read 1024 at 29696
  1004    0.0016  1078  dragonfly    blue          NCP R OK 1024 bytes read
  1005    0.0013    64  blue         dragonfly     NCP C F=B211 Read 1024 at 30720
  1006    0.0016  1078  dragonfly    blue          NCP R OK 1024 bytes read
  1007    0.0013    64  blue         dragonfly     NCP C F=B211 Read 1024 at 31744
  1008    0.0016  1078  dragonfly    blue          NCP R OK 1024 bytes read
  1009    0.0013    64  blue         dragonfly     NCP C F=B211 Read 1024 at 32768
  1010    0.0018  1078  dragonfly    blue          NCP R OK 1024 bytes read
  1011    0.0013    64  blue         dragonfly     NCP C F=B211 Read 1024 at 33792
  1012    0.0017  1078  dragonfly    blue          NCP R OK 1024 bytes read
  1013    0.0013    64  blue         dragonfly     NCP C F=B211 Read 1024 at 34816
  1014    0.0017  1078  dragonfly    blue          NCP R OK 1024 bytes read
  1015    0.0013    64  blue         dragonfly     NCP C F=B211 Read 576 at 35840
  1016    0.0013   630  dragonfly    blue          NCP R OK 576 bytes read
  1017    0.0013    64  blue         dragonfly     NCP C F=B211 Read 512 at 27136
  1018    0.0012   566  dragonfly    blue          NCP R OK 512 bytes read
  1019    0.0025    64  blue         dragonfly     NCP C F=B211 Read 512 at 27648
  1020    0.0012   566  dragonfly    blue          NCP R OK 512 bytes read
  1021    0.0038    64  blue         dragonfly     NCP C F=B211 Read 512 at 28160
  1022    0.0013   566  dragonfly    blue          NCP R OK 512 bytes read
  1023    0.0023    60  blue         dragonfly     NCP C F=430F Close file
  1024    0.0007    60  dragonfly    blue          NCP R OK
  1025    0.0009    60  blue         dragonfly     NCP C F=3719 Close file
  1026    0.0007    60  dragonfly    blue          NCP R OK
  1027    0.0044    60  blue         dragonfly     NCP C End of task
  1028    0.0011    60  dragonfly    blue          NCP R OK
  1029    0.0362    60  blue         dragonfly     NCP C End of task
Sniffer Network Analyzer data from 5-Sep-91 at 09:06:16, file C:\CAPTURE\TEST2.ENC, Page 22


SUMMARY  Delta T  Size     Destination   Source        Summary

  1030    0.0008    60  dragonfly    blue          NCP R OK
  1031    0.0018    66  blue         dragonfly     NCP C Open file /UTIL/C.BAT
  1032    0.0073    88  dragonfly    blue          NCP R F=D417 OK Opened
  1033    0.0012    64  blue         dragonfly     NCP C F=D417 Read 32 at 14
  1034    0.0386    60  dragonfly    blue          NCP R OK 5 bytes read
  1035    0.0010    64  blue         dragonfly     NCP C F=D417 Read 32 at 14
  1036    0.0005    60  dragonfly    blue          NCP R OK 5 bytes read
  1037    0.0009    60  blue         dragonfly     NCP C F=D417 Close file
  1038    0.0007    60  dragonfly    blue          NCP R OK
  1039    0.0026    60  blue         dragonfly     NCP C Get dir path of handle 08
  1040    0.0009    66  dragonfly    blue          NCP R OK Path=SYS:CUSTFILE
  1041    0.0581    60  blue         dragonfly     NCP C End of task
  1042    0.0007    60  dragonfly    blue          NCP R OK
  1043    0.0019    66  blue         dragonfly     NCP C Open file /UTIL/C.BAT
  1044    0.0071    88  dragonfly    blue          NCP R F=D717 OK Opened
  1045    0.0012    64  blue         dragonfly     NCP C F=D717 Read 32 at 19
  1046    0.0005    60  dragonfly    blue          NCP R OK 0 bytes read
  1047    0.0011    60  blue         dragonfly     NCP C F=D717 Close file
  1048    0.0007    60  dragonfly    blue          NCP R OK
  1049    0.0036    60  blue         dragonfly     NCP C Get dir path of handle 08
  1050    0.0009    66  dragonfly    blue          NCP R OK Path=SYS:CUSTFILE
  1051    0.0372    60  blue         dragonfly     NCP C End of task
  1052    0.0007    60  dragonfly    blue          NCP R OK
  1053    0.0015    60  blue         dragonfly     NCP C Get dir path of handle 08
  1054    0.0009    66  dragonfly    blue          NCP R OK Path=SYS:CUSTFILE
  1055    1.7289    60  blue         popfly        NCP C F=C50F Close file
  1056    0.0007    60  popfly       blue          NCP R OK
  1057    0.0584    70  blue         popfly        NCP C Search for file /UNIV/LMS.PRC
  1058    0.0044    84  popfly       blue          NCP R OK File=LMS.PRC
  1059    0.0016    68  blue         popfly        NCP C Open file /UNIV/LMS.PRC
  1060    0.0051    88  popfly       blue          NCP R F=8E28 OK Opened
  1061    0.0007    60  blue         popfly        NCP C F=8E28 Get file current size
  1062    0.0005    60  popfly       blue          NCP R OK
  1063    0.0014    64  blue         popfly        NCP C F=8E28 Read 512 at 0
  1064    0.0012   566  popfly       blue          NCP R OK 512 bytes read
  1065    0.0015    60  blue         popfly        NCP C F=8E28 Close file
  1066    0.0006    60  popfly       blue          NCP R OK
  1067    0.0018    68  blue         popfly        NCP C Open file FINDLEAD.CMD
  1068    0.0065    88  popfly       blue          NCP R F=CD0F OK Opened
  1069    0.0008    60  blue         popfly        NCP C F=CD0F Get file current size
  1070    0.0004    60  popfly       blue          NCP R OK
  1071    0.0014    64  blue         popfly        NCP C F=CD0F Read 512 at 0
  1072    0.0012   566  popfly       blue          NCP R OK 512 bytes read
  1073    0.0141    64  blue         popfly        NCP C F=6E72 Read 480 at 84512
  1074    0.0011   534  popfly       blue          NCP R OK 480 bytes read
  1075    0.0010    64  blue         popfly        NCP C F=6E72 Read 1024 at 84992
  1076    0.0017  1078  popfly       blue          NCP R OK 1024 bytes read
  1077    0.0013    64  blue         popfly        NCP C F=6E72 Read 1024 at 86016
  1078    0.0017  1078  popfly       blue          NCP R OK 1024 bytes read
Sniffer Network Analyzer data from 5-Sep-91 at 09:06:16, file C:\CAPTURE\TEST2.ENC, Page 23


SUMMARY  Delta T  Size     Destination   Source        Summary

  1079    0.0013    64  blue         popfly        NCP C F=6E72 Read 1024 at 87040
  1080    0.0017  1078  popfly       blue          NCP R OK 1024 bytes read
  1081    0.0014    64  blue         popfly        NCP C F=6E72 Read 1024 at 88064
  1082    0.0017  1078  popfly       blue          NCP R OK 1024 bytes read
  1083    0.0013    64  blue         popfly        NCP C F=6E72 Read 1024 at 89088
  1084    0.0018  1078  popfly       blue          NCP R OK 1024 bytes read
  1085    0.0013    64  blue         popfly        NCP C F=6E72 Read 1024 at 90112
  1086    0.0017  1078  popfly       blue          NCP R OK 1024 bytes read
  1087    0.0013    64  blue         popfly        NCP C F=6E72 Read 432 at 91136
  1088    0.0011   486  popfly       blue          NCP R OK 432 bytes read
  1089    0.0012    64  blue         popfly        NCP C F=6E72 Read 512 at 83456
  1090    0.0012   566  popfly       blue          NCP R OK 512 bytes read
  1091    0.0016    64  blue         popfly        NCP C F=6E72 Read 512 at 83968
  1092    0.0011   566  popfly       blue          NCP R OK 512 bytes read
  1093    0.0033    64  blue         popfly        NCP C F=6E72 Read 512 at 84480
  1094    0.0012   566  popfly       blue          NCP R OK 512 bytes read
  1095    0.0212    60  blue         popfly        NCP C Get dir path of handle 0C
  1096    0.0008    62  popfly       blue          NCP R OK Path=SYS:UNIV
  1097    0.0009    64  blue         popfly        NCP C Set handle for LMS.PRC
  1098    0.0085    60  popfly       blue          NCP R Invalid path
  1099    0.0016    68  blue         popfly        NCP C Open file /UNIV/LMS.PRC
  1100    0.0051    88  popfly       blue          NCP R F=5117 OK Opened
  1101    0.0007    60  blue         popfly        NCP C F=5117 Get file current size
  1102    0.0005    60  popfly       blue          NCP R OK
  1103    0.0014    64  blue         popfly        NCP C F=5117 Read 512 at 0
  1104    0.0012   566  popfly       blue          NCP R OK 512 bytes read
  1105    0.0025    64  blue         popfly        NCP C F=5117 Read 512 at 2560
  1106    0.0012   566  popfly       blue          NCP R OK 512 bytes read
  1107    0.0051    64  blue         popfly        NCP C F=6E72 Read 1024 at 79872
  1108    0.0018  1078  popfly       blue          NCP R OK 1024 bytes read
  1109    0.0014    64  blue         popfly        NCP C F=6E72 Read 1024 at 80896
  1110    0.0017  1078  popfly       blue          NCP R OK 1024 bytes read
  1111    0.0013    64  blue         popfly        NCP C F=6E72 Read 1024 at 81920
  1112    0.0018  1078  popfly       blue          NCP R OK 1024 bytes read
  1113    0.0013    64  blue         popfly        NCP C F=6E72 Read 512 at 82944
  1114    0.0012   566  popfly       blue          NCP R OK 512 bytes read
  1115    0.7554    60  blue         popfly        NCP C F=5117 Close file
  1116    0.0007    60  popfly       blue          NCP R OK
  1117    0.8495    64  blue         popfly        NCP C F=CD0F Read 512 at 512
  1118    0.0008   260  popfly       blue          NCP R OK 206 bytes read
  1119    0.1201    60  blue         cacilj        NCP C Service queue 000200A7 job
  1120    0.0008   106  cacilj       blue          NCP R Bindery error
  1121    0.0321    60  blue         cacilj        NCP C Service queue 000000CF job
  1122    0.0009   106  cacilj       blue          NCP R Bindery error
  1123    0.0321    60  blue         cacilj        NCP C Service queue 000400E5 job
  1124    0.0009   106  cacilj       blue          NCP R Bindery error
  1125    0.0321    60  blue         cacilj        NCP C Service queue 00010015 job
  1126    0.0009   106  cacilj       blue          NCP R Bindery error
  1127    2.5340    60  blue         popfly        NCP C F=6E72 Close file
Sniffer Network Analyzer data from 5-Sep-91 at 09:06:16, file C:\CAPTURE\TEST2.ENC, Page 24


SUMMARY  Delta T  Size     Destination   Source        Summary

  1128    0.0007    60  popfly       blue          NCP R OK
  1129    0.0012    64  blue         popfly        NCP C Open file RBASE.OVL
  1130    0.0084    88  popfly       blue          NCP R File not found
  1131    0.0008    64  blue         popfly        NCP C Open file RBASE.OVL
  1132    0.0337    88  popfly       blue          NCP R File not found
  1133    0.0008    64  blue         popfly        NCP C Open file RBASE.OVL
  1134    0.0145    88  popfly       blue          NCP R File not found
  1135    0.0008    64  blue         popfly        NCP C Open file RBASE.OVL
  1136    0.0059    88  popfly       blue          NCP R File not found
  1137    0.0008    64  blue         popfly        NCP C Open file RBASE.OVL
  1138    0.0007    88  popfly       blue          NCP R No open privs
  1139    0.0007    64  blue         popfly        NCP C Open file RBASE.OVL
  1140    0.0022    88  popfly       blue          NCP R F=4D11 OK Opened
  1141    0.0009    64  blue         popfly        NCP C F=4D11 Read 512 at 40448
  1142    0.0012   566  popfly       blue          NCP R OK 512 bytes read
  1143    0.0011    64  blue         popfly        NCP C F=4D11 Read 1024 at 40960
  1144    0.0017  1078  popfly       blue          NCP R OK 1024 bytes read
  1145    0.0013    64  blue         popfly        NCP C F=4D11 Read 1024 at 41984
  1146    0.0016  1078  popfly       blue          NCP R OK 1024 bytes read
  1147    0.0014    64  blue         popfly        NCP C F=4D11 Read 1024 at 43008
  1148    0.0017  1078  popfly       blue          NCP R OK 1024 bytes read
  1149    0.0013    64  blue         popfly        NCP C F=4D11 Read 1024 at 44032
  1150    0.0016  1078  popfly       blue          NCP R OK 1024 bytes read
  1151    0.0013    64  blue         popfly        NCP C F=4D11 Read 1024 at 45056
  1152    0.0016  1078  popfly       blue          NCP R OK 1024 bytes read
  1153    0.0013    64  blue         popfly        NCP C F=4D11 Read 1024 at 46080
  1154    0.0017  1078  popfly       blue          NCP R OK 1024 bytes read
  1155    0.0013    64  blue         popfly        NCP C F=4D11 Read 512 at 47104
  1156    0.0011   566  popfly       blue          NCP R OK 512 bytes read
  1157    0.0012    64  blue         popfly        NCP C F=4D11 Read 512 at 39936
  1158    0.0011   566  popfly       blue          NCP R OK 512 bytes read
  1159    0.0058    60  blue         popfly        NCP C F=4D11 Close file
  1160    0.0007    60  popfly       blue          NCP R OK
  1161    0.0012    66  blue         popfly        NCP C Open file STNDRD.OVL
  1162    0.0085    88  popfly       blue          NCP R File not found
  1163    0.0008    66  blue         popfly        NCP C Open file STNDRD.OVL
  1164    0.0331    88  popfly       blue          NCP R File not found
  1165    0.0008    66  blue         popfly        NCP C Open file STNDRD.OVL
  1166    0.0145    88  popfly       blue          NCP R File not found
  1167    0.0008    66  blue         popfly        NCP C Open file STNDRD.OVL
  1168    0.0059    88  popfly       blue          NCP R File not found
  1169    0.0008    66  blue         popfly        NCP C Open file STNDRD.OVL
  1170    0.0008    88  popfly       blue          NCP R No open privs
  1171    0.0007    66  blue         popfly        NCP C Open file STNDRD.OVL
  1172    0.0021    88  popfly       blue          NCP R F=4E11 OK Opened
  1173    0.0009    64  blue         popfly        NCP C F=4E11 Read 512 at 63488
  1174    0.0012   566  popfly       blue          NCP R OK 512 bytes read
  1175    0.0010    64  blue         popfly        NCP C F=4E11 Read 512 at 64000
  1176    0.0011   566  popfly       blue          NCP R OK 512 bytes read
Sniffer Network Analyzer data from 5-Sep-91 at 09:06:16, file C:\CAPTURE\TEST2.ENC, Page 25


SUMMARY  Delta T  Size     Destination   Source        Summary

  1177    0.0010    64  blue         popfly        NCP C F=4E11 Read 640 at 64512
  1178    0.0013   694  popfly       blue          NCP R OK 640 bytes read
  1179    0.0036    60  blue         popfly        NCP C F=4E11 Close file
  1180    0.0007    60  popfly       blue          NCP R OK
  1181    0.0011    64  blue         popfly        NCP C Open file RBASE.OVL
  1182    0.0086    88  popfly       blue          NCP R File not found
  1183    0.0008    64  blue         popfly        NCP C Open file RBASE.OVL
  1184    0.0327    88  popfly       blue          NCP R File not found
  1185    0.0008    64  blue         popfly        NCP C Open file RBASE.OVL
  1186    0.0144    88  popfly       blue          NCP R File not found
  1187    0.0008    64  blue         popfly        NCP C Open file RBASE.OVL
  1188    0.0059    88  popfly       blue          NCP R File not found
  1189    0.0008    64  blue         popfly        NCP C Open file RBASE.OVL
  1190    0.0008    88  popfly       blue          NCP R No open privs
  1191    0.0007    64  blue         popfly        NCP C Open file RBASE.OVL
  1192    0.0022    88  popfly       blue          NCP R F=4F11 OK Opened
  1193    0.0009    64  blue         popfly        NCP C F=4F11 Read 320 at 159424
  1194    0.0010   374  popfly       blue          NCP R OK 320 bytes read
  1195    0.0009    64  blue         popfly        NCP C F=4F11 Read 1024 at 159744
  1196    0.0016  1078  popfly       blue          NCP R OK 1024 bytes read
  1197    0.0013    64  blue         popfly        NCP C F=4F11 Read 1024 at 160768
  1198    0.0017  1078  popfly       blue          NCP R OK 1024 bytes read
  1199    0.0013    64  blue         popfly        NCP C F=4F11 Read 1024 at 161792
  1200    0.0017  1078  popfly       blue          NCP R OK 1024 bytes read
  1201    0.0013    64  blue         popfly        NCP C F=4F11 Read 1024 at 162816
  1202    0.0017  1078  popfly       blue          NCP R OK 1024 bytes read
  1203    0.0013    64  blue         popfly        NCP C F=4F11 Read 1024 at 163840
  1204    0.0017  1078  popfly       blue          NCP R OK 1024 bytes read
  1205    0.0013    64  blue         popfly        NCP C F=4F11 Read 1024 at 164864
  1206    0.0017  1078  popfly       blue          NCP R OK 1024 bytes read
  1207    0.0014    64  blue         popfly        NCP C F=4F11 Read 1024 at 165888
  1208    0.0017  1078  popfly       blue          NCP R OK 1024 bytes read
  1209    0.0013    64  blue         popfly        NCP C F=4F11 Read 1024 at 166912
  1210    0.0017  1078  popfly       blue          NCP R OK 1024 bytes read
  1211    0.0013    64  blue         popfly        NCP C F=4F11 Read 1024 at 167936
  1212    0.0017  1078  popfly       blue          NCP R OK 1024 bytes read
  1213    0.0013    64  blue         popfly        NCP C F=4F11 Read 1024 at 168960
  1214    0.0017  1078  popfly       blue          NCP R OK 1024 bytes read
  1215    0.0013    64  blue         popfly        NCP C F=4F11 Read 1024 at 169984
  1216    0.0017  1078  popfly       blue          NCP R OK 1024 bytes read
  1217    0.0013    64  blue         popfly        NCP C F=4F11 Read 976 at 171008
  1218    0.0016  1030  popfly       blue          NCP R OK 976 bytes read
  1219    0.0015    64  blue         popfly        NCP C F=4F11 Read 512 at 158208
  1220    0.0012   566  popfly       blue          NCP R OK 512 bytes read
  1221    0.0027    64  blue         popfly        NCP C F=4F11 Read 512 at 158720
  1222    0.0011   566  popfly       blue          NCP R OK 512 bytes read
  1223    0.0032    64  blue         popfly        NCP C F=4F11 Read 512 at 159232
