Sniffer Network Analyzer data from 5-Sep-91 at 09:06:16, file C:\CAPTURE\TEST2.ENC, Page 1


SUMMARY  Delta T  Size     Destination   Source        Summary
   141    0.0041   128  blue         superfly      NCP C F=4218 Write 64 at 3264
   142    0.0007    60  superfly     blue          NCP R OK
   143    0.0054   128  blue         superfly      NCP C F=4218 Write 64 at 3328
   144    0.0006    60  superfly     blue          NCP R OK
   145    0.0041   128  blue         superfly      NCP C F=4218 Write 64 at 3392
   146    0.0006    60  superfly     blue          NCP R OK
   147    0.0057   128  blue         superfly      NCP C F=4218 Write 64 at 3456
Sniffer Network Analyzer data from 5-Sep-91 at 09:06:16, file C:\CAPTURE\TEST2.ENC, Page 4


SUMMARY  Delta T  Size     Destination   Source        Summary

   148    0.0006    60  superfly     blue          NCP R OK
   149    0.0041   128  blue         superfly      NCP C F=4218 Write 64 at 3520
   150    0.0005    60  superfly     blue          NCP R OK
   151    0.0061   128  blue         superfly      NCP C F=4218 Write 64 at 3584
   152    0.0006    60  superfly     blue          NCP R OK
   153    0.0041   128  blue         superfly      NCP C F=4218 Write 64 at 3648
   154    0.0908    60  superfly     blue          NCP R OK
   155    0.0054   128  blue         superfly      NCP C F=4218 Write 64 at 3712
   156    0.0006    60  superfly     blue          NCP R OK
   157    0.0042   128  blue         superfly      NCP C F=4218 Write 64 at 3776
   158    0.0006    60  superfly     blue          NCP R OK
   159    0.0054   128  blue         superfly      NCP C F=4218 Write 64 at 3840
   160    0.0006    60  superfly     blue          NCP R OK
   161    0.0040   128  blue         superfly      NCP C F=4218 Write 64 at 3904
   162    0.0005    60  superfly     blue          NCP R OK
   163    0.0057   128  blue         superfly      NCP C F=4218 Write 64 at 3968
   164    0.0006    60  superfly     blue          NCP R OK
   165    0.0041   128  blue         superfly      NCP C F=4218 Write 64 at 4032
   166    0.0005    60  superfly     blue          NCP R OK
   167    0.0061   128  blue         superfly      NCP C F=4218 Write 64 at 4096
   168    0.0006    60  superfly     blue          NCP R OK
   169    0.0041   128  blue         superfly      NCP C F=4218 Write 64 at 4160
   170    0.0006    60  superfly     blue          NCP R OK
   171    0.0054   128  blue         superfly      NCP C F=4218 Write 64 at 4224
   172    0.0005    60  superfly     blue          NCP R OK
   173    0.0042   128  blue         superfly      NCP C F=4218 Write 64 at 4288
   174    0.0006    60  superfly     blue          NCP R OK
   175    0.0054   128  blue         superfly      NCP C F=4218 Write 64 at 4352
   176    0.0005    60  superfly     blue          NCP R OK
   177    0.0041   128  blue         superfly      NCP C F=4218 Write 64 at 4416
   178    0.0006    60  superfly     blue          NCP R OK
   179    0.0056   128  blue         superfly      NCP C F=4218 Write 64 at 4480
   180    0.0006    60  superfly     blue          NCP R OK
   181    0.0041   128  blue         superfly      NCP C F=4218 Write 64 at 4544
   182    0.0006    60  superfly     blue          NCP R OK
   183    0.0059   128  blue         superfly      NCP C F=4218 Write 64 at 4608
   184    0.0006    60  superfly     blue          NCP R OK
   185    0.0042   128  blue         superfly      NCP C F=4218 Write 64 at 4672
   186    0.0006    60  superfly     blue          NCP R OK
   187    0.0054   128  blue         superfly      NCP C F=4218 Write 64 at 4736
   188    0.0006    60  superfly     blue          NCP R OK
   189    0.0041   128  blue         superfly      NCP C F=4218 Write 64 at 4800
   190    0.0005    60  superfly     blue          NCP R OK
   191    0.0055   128  blue         superfly      NCP C F=4218 Write 64 at 4864
   192    0.0005    60  superfly     blue          NCP R OK
   193    0.0042   128  blue         superfly      NCP C F=4218 Write 64 at 4928
   194    0.0005    60  superfly     blue          NCP R OK
   195    0.0056   128  blue         superfly      NCP C F=4218 Write 64 at 4992
   196    0.0005    60  superfly     blue          NCP R OK
Sniffer Network Analyzer data from 5-Sep-91 at 09:06:16, file C:\CAPTURE\TEST2.ENC, Page 5


SUMMARY  Delta T  Size     Destination   Source        Summary

   197    0.0042   128  blue         superfly      NCP C F=4218 Write 64 at 5056
   198    0.0006    60  superfly     blue          NCP R OK
   199    0.0059   128  blue         superfly      NCP C F=4218 Write 64 at 5120
   200    0.0006    60  superfly     blue          NCP R OK
   201    0.0041   128  blue         superfly      NCP C F=4218 Write 64 at 5184
   202    0.0006    60  superfly     blue          NCP R OK
   203    0.0054   128  blue         superfly      NCP C F=4218 Write 64 at 5248
   204    0.0005    60  superfly     blue          NCP R OK
   205    0.0041   128  blue         superfly      NCP C F=4218 Write 64 at 5312
   206    0.0006    60  superfly     blue          NCP R OK
   207    0.0055   128  blue         superfly      NCP C F=4218 Write 64 at 5376
   208    0.0005    60  superfly     blue          NCP R OK
   209    0.0041   128  blue         superfly      NCP C F=4218 Write 64 at 5440
   210    0.0006    60  superfly     blue          NCP R OK
   211    0.0056   128  blue         superfly      NCP C F=4218 Write 64 at 5504
   212    0.0005    60  superfly     blue          NCP R OK
   213    0.0043   128  blue         superfly      NCP C F=4218 Write 64 at 5568
   214    0.0006    60  superfly     blue          NCP R OK
   215    0.0060   128  blue         superfly      NCP C F=4218 Write 64 at 5632
   216    0.0005    60  superfly     blue          NCP R OK
   217    0.0041   128  blue         superfly      NCP C F=4218 Write 64 at 5696
   218    0.0005    60  superfly     blue          NCP R OK
   219    0.0055   128  blue         superfly      NCP C F=4218 Write 64 at 5760
   220    0.0006    60  superfly     blue          NCP R OK
   221    0.0041   128  blue         superfly      NCP C F=4218 Write 64 at 5824
   222    0.0005    60  superfly     blue          NCP R OK
   223    0.0054   128  blue         superfly      NCP C F=4218 Write 64 at 5888
   224    0.0006    60  superfly     blue          NCP R OK
   225    0.0042   128  blue         superfly      NCP C F=4218 Write 64 at 5952
   226    0.0006    60  superfly     blue          NCP R OK
   227    0.0056   128  blue         superfly      NCP C F=4218 Write 64 at 6016
   228    0.0006    60  superfly     blue          NCP R OK
   229    0.0041   128  blue         superfly      NCP C F=4218 Write 64 at 6080
   230    0.0006    60  superfly     blue          NCP R OK
   231    0.0061   128  blue         superfly      NCP C F=4218 Write 64 at 6144
   232    0.0006    60  superfly     blue          NCP R OK
   233    0.0042   128  blue         superfly      NCP C F=4218 Write 64 at 6208
   234    0.0006    60  superfly     blue          NCP R OK
   235    0.0055   128  blue         superfly      NCP C F=4218 Write 64 at 6272
   236    0.0006    60  superfly     blue          NCP R OK
   237    0.0041   128  blue         superfly      NCP C F=4218 Write 64 at 6336
   238    0.0005    60  superfly     blue          NCP R OK
   239    0.0054   128  blue         superfly      NCP C F=4218 Write 64 at 6400
   240    0.0005    60  superfly     blue          NCP R OK
   241    0.0042   128  blue         superfly      NCP C F=4218 Write 64 at 6464
   242    0.0005    60  superfly     blue          NCP R OK
   243    0.0055   128  blue         superfly      NCP C F=4218 Write 64 at 6528
   244    0.0006    60  superfly     blue          NCP R OK
   245    0.0041   128  blue         superfly      NCP C F=4218 Write 64 at 6592
Sniffer Network Analyzer data from 5-Sep-91 at 09:06:16, file C:\CAPTURE\TEST2.ENC, Page 6


SUMMARY  Delta T  Size     Destination   Source        Summary

   246    0.0006    60  superfly     blue          NCP R OK
   247    0.0060   128  blue         superfly      NCP C F=4218 Write 64 at 6656
   248    0.0006    60  superfly     blue          NCP R OK
   249    0.0041   128  blue         superfly      NCP C F=4218 Write 64 at 6720
   250    0.0006    60  superfly     blue          NCP R OK
   251    0.0053   128  blue         superfly      NCP C F=4218 Write 64 at 6784
   252    0.0006    60  superfly     blue          NCP R OK
   253    0.0042   128  blue         superfly      NCP C F=4218 Write 64 at 6848
   254    0.0006    60  superfly     blue          NCP R OK
   255    0.0054   128  blue         superfly      NCP C F=4218 Write 64 at 6912
   256    0.0006    60  superfly     blue          NCP R OK
   257    0.0041   128  blue         superfly      NCP C F=4218 Write 64 at 6976
   258    0.0006    60  superfly     blue          NCP R OK
   259    0.0056   128  blue         superfly      NCP C F=4218 Write 64 at 7040
   260    0.0005    60  superfly     blue          NCP R OK
   261    0.0041   128  blue         superfly      NCP C F=4218 Write 64 at 7104
   262    0.0006    60  superfly     blue          NCP R OK
   263    0.0060   128  blue         superfly      NCP C F=4218 Write 64 at 7168
   264    0.0006    60  superfly     blue          NCP R OK
   265    0.0041   128  blue         superfly      NCP C F=4218 Write 64 at 7232
   266    0.0006    60  superfly     blue          NCP R OK
   267    0.0053   128  blue         superfly      NCP C F=4218 Write 64 at 7296
   268    0.0006    60  superfly     blue          NCP R OK
   269    0.0042   128  blue         superfly      NCP C F=4218 Write 64 at 7360
   270    0.0005    60  superfly     blue          NCP R OK
   271    0.0054   128  blue         superfly      NCP C F=4218 Write 64 at 7424
   272    0.0005    60  superfly     blue          NCP R OK
   273    0.0042   128  blue         superfly      NCP C F=4218 Write 64 at 7488
   274    0.0006    60  superfly     blue          NCP R OK
   275    0.0057   128  blue         superfly      NCP C F=4218 Write 64 at 7552
   276    0.0005    60  superfly     blue          NCP R OK
   277    0.0041   128  blue         superfly      NCP C F=4218 Write 64 at 7616
   278    0.0006    60  superfly     blue          NCP R OK
   279    0.0060   128  blue         superfly      NCP C F=4218 Write 64 at 7680
   280    0.0006    60  superfly     blue          NCP R OK
   281    0.0040   128  blue         superfly      NCP C F=4218 Write 64 at 7744
   282    0.0375    60  superfly     blue          NCP R OK
   283    0.0055   128  blue         superfly      NCP C F=4218 Write 64 at 7808
   284    0.0006    60  superfly     blue          NCP R OK
   285    0.0041   128  blue         superfly      NCP C F=4218 Write 64 at 7872
   286    0.0005    60  superfly     blue          NCP R OK
   287    0.0054   128  blue         superfly      NCP C F=4218 Write 64 at 7936
   288    0.0005    60  superfly     blue          NCP R OK
   289    0.0042   128  blue         superfly      NCP C F=4218 Write 64 at 8000
   290    0.0006    60  superfly     blue          NCP R OK
   291    0.0056   128  blue         superfly      NCP C F=4218 Write 64 at 8064
   292    0.0006    60  superfly     blue          NCP R OK
   293    0.0041   128  blue         superfly      NCP C F=4218 Write 64 at 8128
   294    0.0006    60  superfly     blue          NCP R OK
Sniffer Network Analyzer data from 5-Sep-91 at 09:06:16, file C:\CAPTURE\TEST2.ENC, Page 7


SUMMARY  Delta T  Size     Destination   Source        Summary

   295    0.0062   128  blue         superfly      NCP C F=4218 Write 64 at 8192
   296    0.0006    60  superfly     blue          NCP R OK
   297    0.0041   128  blue         superfly      NCP C F=4218 Write 64 at 8256
   298    0.0006    60  superfly     blue          NCP R OK
   299    0.0055   128  blue         superfly      NCP C F=4218 Write 64 at 8320
   300    0.0006    60  superfly     blue          NCP R OK
   301    0.0042   128  blue         superfly      NCP C F=4218 Write 64 at 8384
   302    0.0006    60  superfly     blue          NCP R OK
   303    0.0054   128  blue         superfly      NCP C F=4218 Write 64 at 8448
   304    0.0006    60  superfly     blue          NCP R OK
   305    0.0041   128  blue         superfly      NCP C F=4218 Write 64 at 8512
   306    0.0006    60  superfly     blue          NCP R OK
   307    0.0056   128  blue         superfly      NCP C F=4218 Write 64 at 8576
   308    0.0006    60  superfly     blue          NCP R OK
   309    0.0040   128  blue         superfly      NCP C F=4218 Write 64 at 8640
   310    0.0006    60  superfly     blue          NCP R OK
   311    0.0060   128  blue         superfly      NCP C F=4218 Write 64 at 8704
   312    0.0006    60  superfly     blue          NCP R OK
   313    0.0041   128  blue         superfly      NCP C F=4218 Write 64 at 8768
   314    0.0006    60  superfly     blue          NCP R OK
   315    0.0054   128  blue         superfly      NCP C F=4218 Write 64 at 8832
   316    0.0006    60  superfly     blue          NCP R OK
   317    0.0042   128  blue         superfly      NCP C F=4218 Write 64 at 8896
   318    0.0005    60  superfly     blue          NCP R OK
   319    0.0055   128  blue         superfly      NCP C F=4218 Write 64 at 8960
   320    0.0006    60  superfly     blue          NCP R OK
   321    0.0041   128  blue         superfly      NCP C F=4218 Write 64 at 9024
   322    0.0005    60  superfly     blue          NCP R OK
   323    0.0057   128  blue         superfly      NCP C F=4218 Write 64 at 9088
   324    0.0006    60  superfly     blue          NCP R OK
   325    0.0041   128  blue         superfly      NCP C F=4218 Write 64 at 9152
   326    0.0006    60  superfly     blue          NCP R OK
   327    0.0059   128  blue         superfly      NCP C F=4218 Write 64 at 9216
   328    0.0005    60  superfly     blue          NCP R OK
   329    0.0041   128  blue         superfly      NCP C F=4218 Write 64 at 9280
   330    0.0006    60  superfly     blue          NCP R OK
   331    0.0054   128  blue         superfly      NCP C F=4218 Write 64 at 9344
   332    0.0006    60  superfly     blue          NCP R OK
   333    0.0041   128  blue         superfly      NCP C F=4218 Write 64 at 9408
   334    0.0006    60  superfly     blue          NCP R OK
   335    0.0054   128  blue         superfly      NCP C F=4218 Write 64 at 9472
   336    0.0006    60  superfly     blue          NCP R OK
   337    0.0041   128  blue         superfly      NCP C F=4218 Write 64 at 9536
