* "Probe","TimeIndex","axonprobe ie0 (1)",18/04/1996 18:43:27,Index,"[00000C3E7097]","[000086060DA0]","1","18","19800","0","","",""," ","dPkts","dOctets","dErrors","dTimeIndex"
"axonprobe ie0 (1)",18/04/1996 19:43:22,[080036895A02],[08002010C8FB],1,2179,139883,0,0,0,0,3595 
"axonprobe ie0 (1)",18/04/1996 19:43:22,[080036895A02],solar,1,32,5681,0,5,1235,0,3595 
"axonprobe ie0 (1)",18/04/1996 19:43:22,[0800690275CE],[01005E000102],1,1483,430851,0,374,108765,0,3595 
"axonprobe ie0 (1)",18/04/1996 19:43:22,cacilj,[00A024452575],1,68,6840,0,0,0,0,3595 
"axonprobe ie0 (1)",18/04/1996 19:43:22,cacilj,[080009066937],1,904,141716,0,240,37600,0,3595 
"axonprobe ie0 (1)",18/04/1996 19:43:22,cacilj,[0800200B33CB],1,5610,567455,0,1256,127647,0,3595 
"axonprobe ie0 (1)",18/04/1996 19:43:22,cacilj,[080036452302],1,185,15911,0,49,4198,0,3595 
"axonprobe ie0 (1)",18/04/1996 19:43:22,cacilj,solar,1,22,1408,0,5,320,0,3595 
"axonprobe ie0 (1)",18/04/1996 20:43:19,[00000C3E7097],[00000C3E7097],1,1711,208742,0,360,43920,0,3597 
"axonprobe ie0 (1)",18/04/1996 20:43:19,[00000C3E7097],[000086060DA0],1,20,19928,0,2,128,0,3597 
"axonprobe ie0 (1)",18/04/1996 20:43:19,[00000C3E7097],[0020AF760D95],1,51,5903,0,0,0,0,3597 
"axonprobe ie0 (1)",18/04/1996 20:43:19,[000086060DA0],cacilj,1,28,1852,0,0,0,0,3597 
"axonprobe ie0 (1)",18/04/1996 20:43:19,[0000E4040932],[0800200B33CB],1,884,98492,0,133,14738,0,3597 
"axonprobe ie0 (1)",18/04/1996 20:43:19,[0000E4040932],solar,1,5,320,0,1,64,0,3597 
"axonprobe ie0 (1)",18/04/1996 20:43:19,[0020AF0C0E07],[0020AFA22233],1,15,1783,0,0,0,0,3597 

